,_id,title,roomName,gender,roomType,py,deposit,rentFee,region,brandType,roomOption,url,imgUrl
66,65dd9fd5d872d6f0c7de31c1,월세 130/130,월세 130/130,0,1,34.0,1300000,1300000,서초동,0,벽걸이형 침대 쇼파 신발장 냉장고 세탁기 샤워부스 싱크대 가스레인지 전자레인지 TV 붙박이장 화재경보기 CCTV 현관보안,https://www.dabangapp.com/room/65d3017765e6314cbf6b7097,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
67,65dd9fdad872d6f0c7de31c2,월세 3000/150,월세 3000/150,0,1,92.0,30000000,1500000,서초동,0,싱크대 가스레인지 ,https://www.dabangapp.com/room/65dc7a06a15693762a7804a1,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
68,65dd9fded872d6f0c7de31c3,월세 135/135,월세 135/135,0,1,33.24,1350000,1350000,서초동,0,침대 옷장 신발장 냉장고 세탁기 가스레인지 전자레인지 TV ,https://www.dabangapp.com/room/65d2c88e99bb863acb6d8414,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
69,65dd9fe3d872d6f0c7de31c4,월세 135/135,월세 135/135,0,1,33.24,1350000,1350000,서초동,0,침대 옷장 신발장 냉장고 세탁기 가스레인지 전자레인지 TV ,https://www.dabangapp.com/room/65cd7e0c6f947b244c372a32,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
70,65dd9fe7d872d6f0c7de31c5,월세 100/100,월세 100/100,0,1,26.47,1000000,1000000,서초동,0,스탠드형 침대 책상 옷장 식탁 쇼파 신발장 냉장고 세탁기 샤워부스 비데 싱크대 식기세척기 가스레인지 인덕션 전자레인지 TV 붙박이장 화재경보기 경비원 비디오폰 인터폰 카드키 CCTV 사설경비 현관보안,https://www.dabangapp.com/room/65c387f38978fc779204109e,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
72,65dd9ff9d872d6f0c7de31c7,월세 100/95,월세 100/95,0,1,19.77,1000000,950000,서초동,0,천장형 침대 책상 옷장 식탁 신발장 냉장고 세탁기 샤워부스 싱크대 가스레인지 인덕션 전자레인지 TV 붙박이장 화재경보기 경비원 비디오폰 인터폰 카드키 CCTV 사설경비 현관보안,https://www.dabangapp.com/room/65cb2c9eceb3ab47ecc882e1,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
74,65dda002d872d6f0c7de31c9,월세 110/100,월세 110/100,0,1,17.87,1100000,1000000,서초동,0,천장형 침대 신발장 냉장고 세탁기 샤워부스 싱크대 인덕션 전자레인지 TV 붙박이장 화재경보기 경비원 비디오폰 CCTV 사설경비 현관보안,https://www.dabangapp.com/room/65cb6aa59e6b2c211e42acee,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
75,65dda007d872d6f0c7de31ca,월세 9000/45,월세 9000/45,0,0,36.0,90000000,450000,서초동,0,벽걸이형 신발장 냉장고 세탁기 싱크대 가스레인지 ,https://www.dabangapp.com/room/65ce06402969c44a3144d14b,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
76,65dda00cd872d6f0c7de31cb,월세 3000/110,월세 3000/110,0,0,21.8,30000000,1100000,서초동,0,천장형 신발장 냉장고 세탁기 싱크대 인덕션 전자레인지 인터폰 CCTV 현관보안,https://www.dabangapp.com/room/65d2b3131b4232645f10a6e7,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
78,65dda015d872d6f0c7de31cd,월세 3000/100,월세 3000/100,0,1,23.14,30000000,1000000,서초동,0,옷장 신발장 냉장고 세탁기 인덕션 현관보안,https://www.dabangapp.com/room/65b495c257071034f040ddd6,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
