,Unnamed: 0,_id,title,roomName,gender,roomType,py,deposit,rentFee,region,brandType,roomOption,url,imgUrl,station,station_region
59,59,65d83e45586d871d4e26c510,271호점,E1,2,0,0.0,0,572000,신사역,0,WIFI 에어컨 세탁기 냉장고 가스렌지 식탁 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/271,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,신사,신사동
60,60,65d83e47586d871d4e26c511,271호점,F2,2,1,0.0,0,528000,신사역,0,WIFI 에어컨 세탁기 냉장고 가스렌지 식탁 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/271,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,신사,신사동
105,105,65d83ec1586d871d4e26c53e,215호점,Room A,2,0,0.0,1000000,450000,충무로역,0,WIFI 에어컨 세탁기 냉장고 에어컨 책상 침대 옷장,https://www.woozoo.kr/houses/215,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,충무로,필동2가
106,106,65d83ec3586d871d4e26c53f,215호점,Room B,2,0,0.0,1000000,500000,충무로역,0,WIFI 에어컨 세탁기 냉장고 에어컨 책상 침대 옷장,https://www.woozoo.kr/houses/215,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,충무로,필동2가
107,107,65d83ec5586d871d4e26c540,215호점,Room C,2,0,0.0,1000000,450000,충무로역,0,WIFI 에어컨 세탁기 냉장고 에어컨 책상 침대 옷장,https://www.woozoo.kr/houses/215,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,충무로,필동2가
108,108,65d83ec7586d871d4e26c541,215호점,Room D,2,0,0.0,1000000,500000,충무로역,0,WIFI 에어컨 세탁기 냉장고 에어컨 책상 침대 옷장,https://www.woozoo.kr/houses/215,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,충무로,필동2가
109,109,65d83ec9586d871d4e26c542,215호점,Room E,2,0,0.0,1000000,400000,충무로역,0,WIFI 에어컨 세탁기 냉장고 에어컨 책상 침대 옷장,https://www.woozoo.kr/houses/215,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,충무로,필동2가
110,110,65d83ecc586d871d4e26c543,215호점,Room F,2,0,0.0,1000000,550000,충무로역,0,WIFI 에어컨 세탁기 냉장고 에어컨 책상 침대 옷장,https://www.woozoo.kr/houses/215,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,충무로,필동2가
111,111,65d83ece586d871d4e26c544,215호점,Room G,2,0,0.0,1000000,450000,충무로역,0,WIFI 에어컨 세탁기 냉장고 에어컨 책상 침대 옷장,https://www.woozoo.kr/houses/215,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,충무로,필동2가
112,112,65d83edb586d871d4e26c545,183호점,Room A,2,0,8.0,1000000,560000,약수역,0,WIFI 에어컨 세탁기 냉장고 의류건조기 wifi 정수기 전자렌지 밥솥 가스렌지 식탁 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/183,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,약수,신당동
